1,壮爷我爱你,99999,
2,狗,10,
3,兔子,10,
4,卫生间,10,
5,弓,20,
6,战马,20,
7,计算器,20,
8,iPhone5,20,
9,iPhone20,20,
10,二奶,30,
11,锅盖,30,
12,可乐瓶,30,
13,遥控器,30,
14,卫生纸,30,
15,显示器,30,
16,鼠标,40,
17,稻草堆,40,
18,膝盖,40,
19,早饭,40,
20,算盘,40,
21,节操,1,
22,下限,1,
23,益达,1,
24,馒头,10,
25,煞染的馒头,200,
26,斯大林,150,
27,韩大狗,100,
28,吴克,200,
29,元首,200,
30,葛炮,150,
31,cha研,200,
32,小矮马,50,
33,大种马,100,
34,良驹,200,
35,小锤,50,
36,大锤,100,
37,巨槌,200,
38,裹足,100,
39,护腿,100,
40,护膝,100,
41,护心镜,100,
42,头盔,100,
43,战甲,200,
44,战靴,100,
45,盾牌,100,
46,护肩,100,
47,腰带,100,
48,戒指,200,
49,饰品,100,
50,魔杖,100,
51,长柄武器,200,
52,单手剑,100,
53,双手剑,200,
54,单手斧,100,
55,双手斧,200,
56,单手锤,100,
57,匕首,100,
58,拳套,100,
59,法杖,200,
60,项链,300,
61,权杖,100,
62,青肛剑,100,
63,方天画戟,100,
64,朱雀羽扇,200,
65,八卦盾,100,
66,雌雄双股剑,200,
67,吴六剑,100,
68,爪黄飞电,100,
69,的卢,100,
70,绝影,100,
71,赤兔,300,
72,紫骍,100,
73,大宛,100,
74,诸葛连弩,300,
75,寒冰剑,100,
76,贯石斧,100,
77,青龙偃月刀,200,
78,丈八蛇矛,100,
79,方天画戟,200,
80,麒麟弓,100,
81,仁王盾,100,
82,白银狮子,300,
83,藤甲,100,
84,古锭刀,100,
85,飞景,100,
86,流采,100,
87,华铤,100,
88,珠剑,100,
89,白虹,200,
90,孟德剑,100,
91,紫电,100,
92,辟邪,100,
93,流星,200,
94,青冥,100,
95,百里,100,
96,千古剑,100,
97,思召剑,100,
98,蜀八剑,300,
99,镇山剑,100,
100,倚天剑,200,
101,屠龙刀,200,
102,文士剑,100,
103,大吴剑,100,
104,流光剑,100,
105,铁脊蛇矛,100,
106,涯角枪,100,
107,长柄铁锤,100,
108,铁蒺藜骨朵 ,100,
109,大斧,100,
110,蘸金斧,100,
111,三尖两刃刀,200,
112,截头大刀,100,
113,马岱宝刀 ,100,
114,衠钢槊,100,
115,王双大刀,100,
116,吕虔刀,100,
117,龙泉剑,300,
118,七宝刀,100,
119,松纹厢宝剑,100,
120,飞景三剑,100,
121,日月刀,100,
122,百辟宝刀,100,
123,龙鳞刀,200,
124,百辟匕首,200,
125,钢鞭,100,
126,四楞铁简,100,
127,双铁戟,100,
128,宝雕弓,100,
129,鹊画弓,100,
130,虎筋弦弓,200,
131,两石力之弓,100,
132,手戟,100,
133,短戟,100,
134,飞石,100,
135,流星锤,100,
136,飞刀,100,
137,铜挝,100,
138,黑龙戟,50,
139,白龙戟,100,
140,青龙戟,150,
141,明澄扇,50,
142,黑慧扇,100,
143,白怜扇,150,
144,天地一对剑,100,
145,阴阳一对剑,150,
146,风神杖 ,100,
147,烈风杖,150,
148,梦幻杖,200,
149,醒瘤,100,
150,狂骨,150,
151,婶婶的脑海,100,
151,十三块满仓中石油,100,
152,七个月没有洗的内裤,100,
153,龙珠（1星）,100,
154,龙珠（2星）,100,
155,龙珠（3星）,100,
156,龙珠（4星）,100,
157,龙珠（5星）,100,
158,龙珠（6星）,100,
159,龙珠（7星）,100,
160,Acfun,100,
161,联盟狗,100,
162,部落猪,100,
163,泰兰德的香蕉,100,
164,雷霆之怒-逐风者的祝福之剑,100,
165,萨弗拉斯，拉格纳罗斯之手,100,
166,埃提耶什，守护者传说之杖,100,
167,埃辛诺斯战刃(主),100,
168,埃辛诺斯战刃(副),100,
169,怎么又是埃辛诺斯战刃(副),100,
170,还是埃辛诺斯战刃(副),100,
171,要不要每次都是埃辛诺斯战刃(副),100,
172,去他妈的埃辛诺斯战刃(副),100,
173,索利达尔，群星之怒（烂大街）,100,
174,瓦兰奈尔，远古王者之锤,100,
175,影之哀伤,100,
176,龙怒，泰瑞苟莎的寄魂杖,100,
177,龙父之牙,100,
178,阿姆斯特朗回旋阿姆斯炮,100,
179,学姐的头,100,
180,FFF会旗,100,
181,苍井空,100,
182,小泽玛利亚,100,
183,泷泽萝拉,100,
184,鸟叔的鸟,100,
185,幼女死苦水,100,
186,少女的中二病,100,
187,大叔的拥抱,100,
188,木牛流马,100,
189,大波的僵尸,100,
190,马亲王,100,
191,燎原火的馒头,100,
192,陈某,100,
193,三国进度条2龟速制作中,100,
194,蓝白胖次,100,
195,A罩杯胸罩,100,
196,F罩杯胸罩,100,
197,Z罩杯胸罩,100,
198,贞操,100,
199,wanga.me是个好网站,100,
200,三国进度条安卓版会有的,100,
201,三国进度条IOS版也会有的,100,
202,黑暗兵法,99999,
203,偶爸刚嫩死他,100,
204,还给傻逼织毛衣,100,
205,梁非凡,100,
206,我到河北省来,100,
207,看蓝猫学蓝猫我有姿势我自豪,100,
208,豆浆应该吃咸的,100,
209,王力宏♂李云迪,100,
210,我想做中国的RTS,100,
211,知妈♂狸爸,100,
212,没头脑♂不高兴,100,
213,叫我女王大人,100,
214,安蕾尔的游戏新体位挺好看的,100,
215,sin的易播流也挺好看的,100,
216,作者做的休闲赛车游戏:QQ空间搜应用 极速王国，随意玩玩~,100,
217,祝大家新年快乐,100,
218,报告大王！,100,
219,永远不要试图战胜一个纯傻逼，因为他会把你的智商拉到他的水平，然后用他丰富的经验打败你,100,
220,打过台湾岛，活捉林志玲,100,
221,我们给自己的工作室起了个名字，叫黑暗兵法，是不是帅爆了,100,
222,挂科比不挂柯南,100,
223,AC点击量要是能上1000W，我就放裸照,100,
224,每天都给傲天皇妃生孩子,100,
225,AC趋势娘,100,